t_ms,pwm_heater,temp_C
139501,220,120.07
139601,220,120.22
139701,220,120.22
139801,220,120.36
139901,220,120.36
140001,220,120.51
140101,220,120.51
140201,220,120.51
140301,220,120.66
140401,220,120.66
140501,220,120.66
140601,220,120.81
140701,220,120.81
140801,220,120.81
140901,220,120.96
141001,220,120.96
141101,220,120.96
141201,220,121.11
141301,220,121.11
141401,220,121.11
141501,220,121.26
141601,220,121.26
141701,220,121.26
141801,220,121.41
141901,220,121.41
142001,220,121.41
142101,220,121.55
142201,220,121.55
142301,220,121.70
142401,220,121.70
142501,220,121.85
142601,220,121.85
142701,220,121.85
142801,220,122.00
142901,220,122.00
143001,220,122.00
143101,220,122.15
143201,220,122.15
143301,220,122.15
143401,220,122.30
143501,220,122.30
143601,220,122.30
143701,220,122.45
143801,220,122.45
143901,220,122.45
144001,220,122.60
144101,220,122.60
144201,220,122.60
144301,220,122.75
144401,220,122.75
144501,220,122.75
144601,220,122.91
144701,220,123.06
144801,220,123.06
144901,220,123.06
145001,220,123.21
145101,220,123.21
145201,220,123.21
145301,220,123.21
145401,220,123.36
145501,220,123.36
145601,220,123.51
145701,220,123.51
145801,220,123.51
145901,220,123.51
146001,220,123.66
146101,220,123.66
146201,220,123.66
146301,220,123.81
146401,220,123.81
146501,220,123.81
146601,220,123.97
146701,220,123.97
146801,220,123.97
146901,220,124.12
147001,220,124.12
147101,220,124.27
147201,220,124.27
147301,220,124.27
147401,220,124.27
147501,220,124.42
147601,220,124.42
147701,220,124.58
147801,220,124.58
147901,220,124.58
148001,220,124.73
148101,220,124.73
148201,220,124.73
148301,220,124.73
148401,220,124.88
148501,220,124.88
148601,220,124.88
148701,220,125.04
148801,220,125.04
148901,220,125.04
149001,220,125.19
149101,220,125.19
149201,220,125.19
149301,220,125.35
149401,220,125.35
149501,220,125.35
149601,220,125.50
149701,220,125.50
149801,220,125.50
149901,220,125.65
150001,220,125.65
150101,220,125.81
150201,220,125.81
150301,220,125.81
150401,220,125.81
150501,220,125.96
150601,220,125.96
150701,220,125.96
150801,220,125.96
150901,220,126.12
151001,220,126.12
151101,220,126.27
151201,220,126.27
151301,220,126.27
151401,220,126.27
151501,220,126.43
151601,220,126.43
151701,220,126.43
151801,220,126.58
151901,220,126.58
152001,220,126.58
152101,220,126.74
152201,220,126.74
152301,220,126.74
152401,220,126.90
152501,220,126.90
152601,220,126.90
152701,220,127.05
152801,220,127.05
152901,220,127.05
153001,220,127.21
153101,220,127.21
153201,220,127.21
153301,220,127.21
153401,220,127.37
153501,220,127.37
153601,220,127.37
153701,220,127.52
153801,220,127.52
153901,220,127.52
154001,220,127.52
154101,220,127.68
